name,brand,kcal_per_mL,protein_per_mL,fat_per_mL,carbohydrate_per_mL,fibre_per_mL,sodium_per_mL,potassium_per_mL,calcium_per_mL,iron_per_mL,magnesium_per_mL,phosphorus_per_mL,free_water_per_mL,vitamin_a_rae_ug_per_mL,retinol_ug_per_mL,beta_carotene_ug_per_mL,vitamin_d_ug_per_mL,vitamin_e_mg_per_mL,vitamin_c_mg_per_mL,thiamine_mg_per_mL,riboflavin_mg_per_mL,vitamin_b6_mg_per_mL,pantothenic_acid_mg_per_mL,niacin_preformed_mg_per_mL,zinc_mg_per_mL,copper_mg_per_mL,manganese_mg_per_mL,folate_dfe_ug_per_mL,vitamin_b12_ug_per_mL,selenium_ug_per_mL,source,verified
Ensure Plus Calories,Abbott Nutrition,1.489,0.05532,0.04681,0.2128,0,0.8936,1.915,1.489,0.01915,0.3404,0.7447,0.762,,,,0.03404,0.03191,0.1915,0.001277,0.001489,0.001915,0.005106,0.02979,0.01489,0.000979,0.002553,0.4255,0.002553,0.05957,2024_abbott-adult-product-guide.pdf p.13,2026-08-28
Ensure Plus,Abbott Nutrition,1.511,0.05532,0.04043,0.2298,,1.068,1.962,1.281,0.01621,0.277,1.17,0.77,1.596,1.596,,0.006489,0.00766,0.06383,0.001379,0.001809,0.002085,0.007404,0.02557,0.01702,0.002128,0.005532,0.4413,0.002085,0.05532,2024_abbott-adult-product-guide.pdf p.14,2026-08-28
Ensure Clear,Abbott Nutrition,1.013,0.03376,0,0.2194,0,0.2954,0.1266,,0.01055,0.03376,0.9494,0.827,,,,0.01688,0.009494,0.1139,0.001477,0.001899,0.001688,0.003376,0.01688,0.01477,0.000591,0.000949,0.4219,0.002532,0.04219,2024_abbott-adult-product-guide.pdf p.15,2026-08-28
Boost CarbSmart,Nestlé Health Science,0.8017,0.06751,0.02954,0.07173,0.01266,0.5274,1.477,1.181,0.01055,0.2278,1.097,0.8228,0.8861,0.8861,,0.003797,0.008861,0.04473,0.001266,0.001603,0.001603,0.005485,0.02658,0.01266,0.00135,0.004008,0.4473,0.000886,0.01688,2026_nestle-product-guide.pdf p.6,2026-08-28
Boost Fruit Flavoured,Nestlé Health Science,0.7595,0.03797,0.00211,0.1519,,0.06329,0.1477,0.3333,0.009494,0.1688,0.8439,0.865,0.5734,0.5734,,0.005274,0.01082,0.1582,0.001603,0.001814,0.00211,0.005274,0.0211,0.01582,0.001055,0.00211,0.3586,0.006329,,2026_nestle-product-guide.pdf p.7,2026-08-28
Boost High Protein,Nestlé Health Science,1.013,0.06329,0.0211,0.1435,,1.055,1.899,1.561,0.01899,0.3797,1.266,0.8312,1.899,1.899,,0.006329,0.01055,0.06329,0.001603,0.00211,0.001743,0.005907,0.03376,0.01688,0.002532,0.005063,0.5612,0.001097,0.05063,2026_nestle-product-guide.pdf p.8,2026-08-28
Boost Original,Nestlé Health Science,0.9705,0.04219,0.02532,0.1435,,1.118,1.73,1.3,0.01477,0.3797,1.118,0.8439,1.27,1.27,,0.006329,0.01055,0.06329,0.001392,0.001814,0.001751,0.005907,0.02954,0.01713,0.002532,0.004641,0.4515,0.001097,0.04641,2026_nestle-product-guide.pdf p.10,2026-08-28
Boost Plus Calories,Nestlé Health Science,1.519,0.05907,0.05907,0.1899,0.01266,0.8439,1.519,1.477,0.01899,0.4219,1.266,0.7722,1.266,0.6329,1.266,0.008439,0.05696,0.2532,0.001603,0.001814,0.002954,0.01055,0.0211,0.01899,0.00211,0.002954,0.8608,0.008861,0.07595,2026_nestle-product-guide.pdf p.11,2026-08-28
Boost Protein+,Nestlé Health Science,0.8308,0.08308,0.02462,0.06769,0.006154,0.8154,2.154,1.385,0.01015,0.3077,1.231,0.8615,1.077,1.077,,0.003846,0.009908,0.06154,0.001077,0.001538,0.001385,0.004,0.02031,0.01231,0.001692,0.003077,0.3591,0.000923,0.04615,2026_nestle-product-guide.pdf p.13,2026-08-28
Boost Soothe,Nestlé Health Science,1.266,0.04219,0,0.2743,,0,,,,,,0.7848,,,,,,,,,,,,,,,,,,2026_nestle-product-guide.pdf p.15,2026-08-28
Boost 1.5,Nestlé Health Science,1.519,0.05485,0.04641,0.2194,,1.308,1.941,1.266,0.01899,0.4219,1.055,0.7595,1.351,1.351,,0.01055,0.01424,0.1519,0.002532,0.002869,0.003376,0.01055,0.03376,0.02532,0.00211,0.00211,0.7173,0.01013,0.07595,2026_nestle-product-guide.pdf p.16,2026-08-28
Boost 2.24,Nestlé Health Science,2.236,0.09283,0.1097,0.2194,,1.181,1.772,1.055,0.02658,0.3376,1.055,0.6709,2.19,2.19,,0.05063,0.02089,0.2532,0.00211,0.002532,0.003376,0.01055,0.03376,0.02321,0.002236,0.004641,0.8608,0.005063,0.1181,2026_nestle-product-guide.pdf p.17,2026-08-28
